date,gamePk,home_team,away_team,home_score,away_score,home_ops,home_era,home_whip,away_ops,away_era,away_whip,run_diff_home,run_diff_away,result_home,result_away,home_record,away_record
2025-03-01,779129,Baltimore Orioles,Pittsburgh Pirates,2,5,0.5,5.0,1.444,0.938,2.0,1.0,-3,3,0,1,0-0,0-0
2025-03-01,778936,Kansas City Royals,Chicago Cubs,1,11,0.608,11.0,2.222,1.141,1.0,1.111,-10,10,0,1,0-0,0-0
2025-03-01,778730,Washington Nationals,Miami Marlins,7,0,0.698,0.0,0.667,0.321,7.875,1.375,7,-7,1,0,0-0,0-0
2025-03-01,779099,Milwaukee Brewers,Texas Rangers,9,4,1.26,3.0,1.222,0.767,10.125,1.875,5,-5,1,0,0-0,0-0
2025-03-01,779018,Seattle Mariners,Chicago White Sox,9,18,0.985,18.0,2.667,1.304,8.0,1.889,-9,9,0,1,0-0,0-0
2025-03-01,778801,Arizona Diamondbacks,Colorado Rockies,8,4,0.98,4.0,1.333,0.737,7.875,1.5,4,-4,1,0,0-0,0-0
2025-03-01,778858,Los Angeles Dodgers,San Francisco Giants,6,5,0.943,5.0,1.111,0.724,6.75,1.5,1,-1,1,0,0-0,0-0
2025-03-01,778831,Cincinnati Reds,San Diego Padres,7,3,0.861,2.0,1.778,0.715,7.875,1.5,4,-4,1,0,0-0,0-0
2025-03-01,779157,Los Angeles Angels,Athletics,5,0,0.549,0.0,0.444,0.29,4.5,1.25,5,-5,1,0,0-0,0-0
2025-03-01,779051,New York Yankees,Houston Astros,9,3,0.87,3.0,1.0,0.395,10.125,1.25,6,-6,1,0,0-0,0-0
2025-03-01,778704,Atlanta Braves,Toronto Blue Jays,1,1,0.552,1.0,0.889,0.409,1.0,1.0,0,0,0,0,0-0,0-0
2025-03-01,779111,Detroit Tigers,Philadelphia Phillies,1,0,0.526,0.0,0.444,0.165,1.125,1.0,1,-1,1,0,0-0,0-0
2025-03-01,778774,Boston Red Sox,Minnesota Twins,8,4,1.055,2.0,0.889,0.416,9.0,2.25,4,-4,1,0,0-0,0-0
2025-03-01,778970,Tampa Bay Rays,New York Mets,1,10,0.356,10.0,1.778,0.759,1.0,0.556,-9,9,0,1,0-0,0-0
2025-03-01,779079,St. Louis Cardinals,Washington Nationals,3,2,0.609,2.0,1.0,0.538,3.115,1.385,1,-1,1,0,0-0,0-0
2025-03-01,778756,Chicago Cubs,Cleveland Guardians,7,4,0.905,4.0,1.0,0.765,7.875,2.125,3,-3,1,0,0-0,0-0
2025-03-02,779146,Athletics,Los Angeles Dodgers,4,8,0.487,8.0,1.556,0.921,1.0,0.778,-4,4,0,1,0-0,0-0
2025-03-02,778799,Colorado Rockies,Seattle Mariners,6,1,0.626,1.0,0.889,0.437,6.75,1.25,5,-5,1,0,0-0,0-0
2025-03-02,778833,Cleveland Guardians,Milwaukee Brewers,12,12,1.021,11.0,2.0,1.024,11.0,2.222,0,0,0,0,0-0,0-0
2025-03-02,778860,Los Angeles Dodgers,Chicago White Sox,6,3,0.849,3.0,1.222,0.603,5.625,1.5,3,-3,1,0,0-1,0-1
2025-03-02,778935,Texas Rangers,Arizona Diamondbacks,6,3,0.973,3.0,1.111,0.677,6.75,1.25,3,-3,1,0,0-0,0-0
2025-03-02,778986,San Francisco Giants,Los Angeles Angels,9,5,0.775,5.0,1.444,0.693,10.125,1.75,4,-4,1,0,0-0,0-0
2025-03-02,778749,Chicago Cubs,Cincinnati Reds,3,7,0.64,7.0,1.667,1.024,3.0,1.333,-4,4,0,1,0-1,0-0
2025-03-02,779013,San Diego Padres,Kansas City Royals,4,10,0.639,5.0,1.667,0.727,4.0,1.222,-6,6,0,1,0-0,0-0
