date,home_team,away_team,home_score,away_score,result_home,result_away,home_win_pct,away_win_pct,home_avg_ops,home_avg_era,home_avg_whip,away_avg_ops,away_avg_era,away_avg_whip
2025-03-18,Chicago Cubs,Los Angeles Dodgers,1,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,Chicago Cubs,Los Angeles Dodgers,3,6,0,1,0.0,1.0,0.29,3.0,1.667,0.622,1.0,0.444
2025-03-27,Seattle Mariners,Athletics,4,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Arizona Diamondbacks,Chicago Cubs,6,10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Los Angeles Dodgers,Detroit Tigers,5,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,St. Louis Cardinals,Minnesota Twins,5,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Miami Marlins,Pittsburgh Pirates,5,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Chicago White Sox,Los Angeles Angels,8,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,San Diego Padres,Atlanta Braves,7,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Houston Astros,New York Mets,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Kansas City Royals,Cleveland Guardians,4,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Washington Nationals,Philadelphia Phillies,3,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Texas Rangers,Boston Red Sox,2,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Toronto Blue Jays,Baltimore Orioles,2,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,New York Yankees,Milwaukee Brewers,4,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Cincinnati Reds,San Francisco Giants,4,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,Arizona Diamondbacks,Chicago Cubs,8,1,1,0,0.0,1.0,0.823,10.0,2.0,0.822,6.0,1.333
2025-03-28,Los Angeles Dodgers,Detroit Tigers,8,5,1,0,1.0,0.0,0.766,4.0,1.667,0.787,5.625,1.0
2025-03-28,San Diego Padres,Atlanta Braves,4,3,1,0,1.0,0.0,0.848,4.0,1.444,0.689,7.875,1.5
2025-03-28,Houston Astros,New York Mets,1,3,0,1,1.0,0.0,0.613,1.0,1.333,0.585,2.25,1.5
2025-03-28,Seattle Mariners,Athletics,0,7,0,1,1.0,0.0,0.834,2.0,0.444,0.444,3.375,1.5
2025-03-28,Miami Marlins,Pittsburgh Pirates,3,4,0,1,1.0,0.0,0.728,4.0,1.222,0.583,5.625,1.75
2025-03-28,Toronto Blue Jays,Baltimore Orioles,8,2,1,0,0.0,1.0,0.523,12.0,2.111,1.291,2.0,1.0
2025-03-28,Tampa Bay Rays,Colorado Rockies,3,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,Texas Rangers,Boston Red Sox,4,1,1,0,0.0,1.0,0.5,5.0,1.0,0.614,2.0,1.0
2025-03-29,Seattle Mariners,Athletics,2,4,0,1,0.5,0.5,0.6154999999999999,4.5,1.1665,0.729,1.6875,1.1945000000000001
2025-03-29,Los Angeles Dodgers,Detroit Tigers,7,3,1,0,1.0,0.0,0.785,3.8,1.5835,0.8205,6.1875,1.0354999999999999
2025-03-29,Arizona Diamondbacks,Chicago Cubs,3,4,0,1,0.5,0.5,0.96,5.5,1.389,0.5914999999999999,7.5,1.5415
2025-03-29,San Diego Padres,Atlanta Braves,1,0,1,0,1.0,0.0,0.853,3.5,1.222,0.61,6.1875,1.5
2025-03-29,Houston Astros,New York Mets,2,1,1,0,0.5,0.5,0.4645,1.5,1.111,0.5914999999999999,1.625,1.139
2025-03-29,Texas Rangers,Boston Red Sox,4,3,1,0,0.5,0.5,0.6805,3.0,1.0554999999999999,0.5635,3.25,1.1875
2025-03-29,Tampa Bay Rays,Colorado Rockies,1,2,0,1,1.0,0.0,0.625,1.0,1.111,0.618,3.375,1.0
2025-03-29,Miami Marlins,Pittsburgh Pirates,5,4,1,0,0.5,0.5,0.6885,3.5,1.2774999999999999,0.616,4.3125,1.4304999999999999
2025-03-29,Kansas City Royals,Cleveland Guardians,4,3,1,0,0.0,1.0,0.565,5.4,1.3,0.833,3.6,0.8
2025-03-29,Washington Nationals,Philadelphia Phillies,6,11,0,1,0.0,1.0,0.516,5.4,1.4,0.812,2.7,0.8
2025-03-29,Toronto Blue Jays,Baltimore Orioles,5,9,0,1,0.5,0.5,0.7484999999999999,7.0,1.4445000000000001,0.855,4.9375,1.5625
2025-03-29,St. Louis Cardinals,Minnesota Twins,5,1,1,0,1.0,0.0,0.858,3.0,1.222,0.68,3.375,1.5
2025-03-29,Chicago White Sox,Los Angeles Angels,0,1,0,1,1.0,0.0,0.92,1.0,0.778,0.51,9.0,1.375
2025-03-29,New York Yankees,Milwaukee Brewers,20,9,1,0,1.0,0.0,0.816,2.0,1.222,0.631,4.5,1.375
2025-03-29,Cincinnati Reds,San Francisco Giants,3,2,1,0,0.0,1.0,0.615,6.0,0.889,0.592,4.0,1.333
2025-03-30,Chicago White Sox,Los Angeles Angels,2,3,0,1,0.5,0.5,0.5940000000000001,1.0,1.0554999999999999,0.5465,4.5,1.021
2025-03-30,San Diego Padres,Atlanta Braves,5,0,1,0,1.0,0.0,0.7083333333333334,2.3333333333333335,1.1849999999999998,0.5736666666666667,4.5,1.25
2025-03-30,Seattle Mariners,Athletics,2,1,1,0,0.3333333333333333,0.6666666666666666,0.591,4.0,1.185,0.6936666666666667,1.4583333333333333,1.2036666666666667
2025-03-30,Arizona Diamondbacks,Chicago Cubs,10,6,1,0,0.3333333333333333,0.6666666666666666,0.8786666666666667,5.0,1.2593333333333334,0.6236666666666666,6.0,1.4720000000000002
2025-03-30,Texas Rangers,Boston Red Sox,3,2,1,0,0.6666666666666666,0.3333333333333333,0.7093333333333334,3.0,1.1849999999999998,0.6016666666666667,3.6666666666666665,1.1666666666666667
2025-03-30,Kansas City Royals,Cleveland Guardians,2,6,0,1,0.5,0.5,0.6659999999999999,4.2,1.15,0.718,4.05,1.15
2025-03-30,St. Louis Cardinals,Minnesota Twins,9,2,1,0,1.0,0.0,0.8345,2.0,0.7775,0.4565,4.5,1.6875
2025-03-30,Tampa Bay Rays,Colorado Rockies,6,4,1,0,0.5,0.5,0.725,1.5,0.889,0.506,2.1875,1.4445000000000001
2025-03-30,Cincinnati Reds,San Francisco Giants,3,6,0,1,0.5,0.5,0.6779999999999999,4.0,0.889,0.6355,3.6875,1.229
2025-03-30,Toronto Blue Jays,Baltimore Orioles,3,1,1,0,0.3333333333333333,0.6666666666666666,0.7473333333333333,7.666666666666667,1.4443333333333335,0.9203333333333333,4.958333333333333,1.523
2025-03-30,New York Yankees,Milwaukee Brewers,12,3,1,0,1.0,0.0,1.2305,3.5,1.4445000000000001,0.6970000000000001,12.375,2.1875
2025-03-30,Washington Nationals,Philadelphia Phillies,5,1,1,0,0.0,1.0,0.739,8.2,1.922,0.9605,4.35,1.2890000000000001
2025-03-30,Miami Marlins,Pittsburgh Pirates,3,2,1,0,0.6666666666666666,0.3333333333333333,0.7033333333333333,2.8333333333333335,1.3239999999999998,0.6033333333333334,3.669,1.4243333333333332
2025-03-31,Los Angeles Dodgers,Atlanta Braves,6,1,1,0,1.0,0.0,0.8256666666666668,3.533333333333333,1.426,0.4585,4.78125,1.40625
2025-03-31,Athletics,Chicago Cubs,3,18,0,1,0.0,0.5,0.0,0.0,0.0,0.68675,7.3125,1.82275
